species,gradient_id,elevation_m,lat,lon,sampling_date
Acaena pinnatifida Ruiz & Pav.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Acaena pinnatifida Ruiz & Pav.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Acaena pinnatifida Ruiz & Pav.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Acaena pinnatifida Ruiz & Pav.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Acaena pinnatifida Ruiz & Pav.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Acaena pinnatifida Ruiz & Pav.,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Acaena splendens Hook. & Arn.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Adesmia arachnipes Clos,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Adesmia capitellata (Clos) Hauman,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Adesmia capitellata (Clos) Hauman,La Parva,3600,-33.31871,-70.26104166666667,2023-01-18
Adesmia coronilloides Gillies ex Hook. & Arn.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Adesmia coronilloides Gillies ex Hook. & Arn.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Adesmia coronilloides Gillies ex Hook. & Arn.,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Adesmia exilis Clos,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Adesmia exilis Clos,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Adesmia exilis Clos,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Adesmia glomerula Clos,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Adesmia longiseta DC.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Adesmia longiseta DC.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Adesmia montana Phil.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Adesmia montana Phil.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Adesmia montana Phil.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Adesmia montana Phil.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Adesmia papposa (Lag.) DC. var. radicifolia (Clos) M.N. Correa,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Alstroemeria pallida Graham,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Anarthrophyllum cumingii (Hook. & Arn.) F. Phil.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Anarthrophyllum cumingii (Hook. & Arn.) F. Phil.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Anarthrophyllum cumingii (Hook. & Arn.) F. Phil.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Anarthrophyllum cumingii (Hook. & Arn.) F. Phil.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Anarthrophyllum gayanum (A. Gray) B.D. Jacks.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Anemone major (Phil.) F. Meigen,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Antennaria chilensis J. Remy var. chilensis,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Astragalus looseri I.M. Johnst.,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Azorella madreporica Clos,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
Azorella madreporica Clos,La Parva,3400,-33.32467166666667,-70.261175,2022-12-28
Azorella madreporica Clos,La Parva,3500,-33.32036333333334,-70.25692333333333,2023-01-18
Azorella madreporica Clos,La Parva,3600,-33.31871,-70.26104166666667,2023-01-18
Azorella monantha Clos,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Azorella ruizii G.M. Plunkett & A.N. Nicolas,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Azorella ruizii G.M. Plunkett & A.N. Nicolas,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Azorella ruizii G.M. Plunkett & A.N. Nicolas,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Azorella ruizii G.M. Plunkett & A.N. Nicolas,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Azorella ruizii G.M. Plunkett & A.N. Nicolas,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Azorella ruizii G.M. Plunkett & A.N. Nicolas,La Parva,3200,-33.32936,-70.27304166666667,2023-01-19
Berberis empetrifolia Lam.,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Berberis empetrifolia Lam.,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Berberis empetrifolia Lam.,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Berberis empetrifolia Lam.,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Berberis empetrifolia Lam.,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Bromus catharthicus var. catharthicus,La Parva,2500,-33.34429333333333,-70.29843833333334,2023-01-17
Bromus catharthicus var. catharthicus,La Parva,2600,-33.34408333333334,-70.29429333333333,2023-01-17
Bromus catharthicus var. catharthicus,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Bromus catharthicus var. catharthicus,La Parva,2800,-33.331923333333336,-70.284845,2023-01-19
Bromus catharthicus var. catharthicus,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Bromus catharthicus var. catharthicus,La Parva,3000,-33.325755,-70.28260166666666,2023-01-20
Bromus setifolius J. Presl var. setifolius,La Parva,2700,-33.33190666666667,-70.28919166666667,2023-01-18
Bromus setifolius J. Presl var. setifolius,La Parva,2900,-33.32950166666667,-70.28654999999999,2023-01-20
Bromus setifolius J. Presl var. setifolius,La Parva,3100,-33.32688166666667,-70.27770166666667,2023-01-19
Bromus setifolius J. Presl var. setifolius,La Parva,3300,-33.325138333333335,-70.26480666666667,2023-01-19
